Tacticam File,Matched Broadcast File,Similarity Score
tacticam_frame117_player15.jpg,broadcast_frame103_player7.jpg,0.9562
tacticam_frame117_player16.jpg,broadcast_frame121_player9.jpg,0.9664
tacticam_frame117_player17.jpg,broadcast_frame115_player9.jpg,0.9506
tacticam_frame117_player18.jpg,broadcast_frame98_player4.jpg,0.9622
tacticam_frame117_player19.jpg,broadcast_frame32_player6.jpg,0.9317
tacticam_frame117_player2.jpg,broadcast_frame98_player4.jpg,0.9643
tacticam_frame117_player3.jpg,broadcast_frame120_player4.jpg,0.9502
tacticam_frame117_player4.jpg,broadcast_frame101_player8.jpg,0.9667
tacticam_frame117_player5.jpg,broadcast_frame68_player8.jpg,0.9623
tacticam_frame117_player6.jpg,broadcast_frame99_player0.jpg,0.9531
tacticam_frame117_player7.jpg,broadcast_frame113_player5.jpg,0.9678
tacticam_frame117_player8.jpg,broadcast_frame122_player7.jpg,0.949
tacticam_frame117_player9.jpg,broadcast_frame104_player7.jpg,0.967
tacticam_frame118_player0.jpg,broadcast_frame117_player3.jpg,0.981
tacticam_frame118_player1.jpg,broadcast_frame91_player12.jpg,0.9613
tacticam_frame118_player10.jpg,broadcast_frame104_player7.jpg,0.9684
tacticam_frame118_player11.jpg,broadcast_frame116_player7.jpg,0.9679
tacticam_frame118_player12.jpg,broadcast_frame95_player1.jpg,0.9554
tacticam_frame118_player13.jpg,broadcast_frame122_player7.jpg,0.9585
tacticam_frame118_player14.jpg,broadcast_frame99_player9.jpg,0.9496
tacticam_frame118_player15.jpg,broadcast_frame81_player10.jpg,0.9693
tacticam_frame118_player16.jpg,broadcast_frame122_player7.jpg,0.9562
tacticam_frame118_player17.jpg,broadcast_frame98_player4.jpg,0.9409
tacticam_frame118_player18.jpg,broadcast_frame17_player8.jpg,0.9592
tacticam_frame118_player2.jpg,broadcast_frame108_player3.jpg,0.9687
tacticam_frame118_player3.jpg,broadcast_frame108_player8.jpg,0.9648
tacticam_frame118_player4.jpg,broadcast_frame109_player1.jpg,0.9508
tacticam_frame118_player5.jpg,broadcast_frame25_player10.jpg,0.9605
tacticam_frame118_player6.jpg,broadcast_frame112_player5.jpg,0.9717
tacticam_frame118_player7.jpg,broadcast_frame115_player6.jpg,0.9482
tacticam_frame118_player8.jpg,broadcast_frame78_player5.jpg,0.9283
tacticam_frame118_player9.jpg,broadcast_frame68_player6.jpg,0.9563
tacticam_frame119_player0.jpg,broadcast_frame107_player9.jpg,0.9564
tacticam_frame119_player1.jpg,broadcast_frame115_player6.jpg,0.9703
tacticam_frame119_player10.jpg,broadcast_frame78_player5.jpg,0.9343
